"pic","word","condition","rt","accuracy","participant"
"moon","star","category",683.4694,1,4
"bed","count","mediated",1025.6916,1,4
"tie","sock","category",865.0567,1,4
"coat","hat","category",781.2472,1,4
"hat","drug","unrelated_med",1130.4535,1,4
"car","truck","category",1027.6871,1,4
"table","chain","mediated",779.2517,1,4
"couch","bed","category",925.9184,1,4
"drill","horse","unrelated_cat",716.3946,1,4
"tie","soap","mediated",724.3764,1,4
"moon","plant","unrelated_med",759.2971,1,4
"fork","knight","mediated",787.2336,1,4
"mountain","lake","category",934.898,1,4
"horse","camera","mediated",1135.4422,1,4
"carrot","beach","mediated",1355.941,1,4
"hammer","pig","unrelated_cat",870.0454,1,4
"tie","hammer","unrelated_cat",736.3492,1,4
"drum","mouse","unrelated_med",1004.7392,1,4
"lemon","pear","category",903.9683,1,4
"coat","ham","mediated",727.3696,1,4
"sheep","pill","mediated",1088.5488,1,4
"whistle","flute","category",764.2857,1,4
"chair","tablet","mediated",1013.7188,0,4
"ship","plane","category",737.3469,1,4
"knife","camel","unrelated_cat",886.0091,1,4
"harp","drug","mediated",772.2676,1,4
"sock","tide","mediated",700.4308,1,4
"flute","whistle","category",815.1701,1,4
"bed","mountain","unrelated_cat",988.7755,1,4
"camel","horse","category",948.8662,1,4
"lake","card","unrelated_med",850.0907,1,4
"sock","knife","unrelated_cat",679.4785,1,4
"car","hand","unrelated_cat",676.4853,1,4
"ear","pearl","unrelated_med",691.4512,1,4
"pig","truck","unrelated_cat",873.0385,1,4
"truck","car","category",759.2971,1,4
"couch","bell","mediated",1163.3787,1,4
